"_group","_needs","ContractLocation","VendorFolder","Filename","FilePath","DocType","SigningStatus","CounterpartyName","EffectiveDate","ExpirationDate","ManualReviewNote"
"G1","G1","01 Active Contracts","Urbx","Urbx_NDA_DCS.pdf","Urbx/Urbx_NDA_DCS.pdf","NDA","Review","Urbx","2023-03-19","","Status=unknown-needs-review"
"G2","G2","01 Active Contracts","A-LIGN","Designed Conveyor Systems-2025-2027-Type 2 SOC 2-SOW-Executed.pdf","A-LIGN/Designed Conveyor Systems-2025-2027-Type 2 SOC 2-SOW-Executed.pdf","SOW","Signed","A-LIGN Compliance and Security, Inc","","","Status=unknown-needs-review"
"G2","G2","01 Active Contracts","BATO","BATO - Master Engineering Services Agreement form 10 12 signed.pdf","BATO/BATO - Master Engineering Services Agreement form 10 12 signed.pdf","Other","Signed","Bridgestone Americas Tire Operations, LLC","","","Status=unknown-needs-review"
"G2","G2","01 Active Contracts","Bridgestone","BATO - Master Engineering Services Agreement form 10 12 signed.pdf","Bridgestone/BATO - Master Engineering Services Agreement form 10 12 signed.pdf","Other","Signed","Bridgestone Americas Tire Operations, LLC","","","Status=unknown-needs-review"
"G2","G2","01 Active Contracts","Ross Stores, Inc","NDA_Mutual_CA_-_Subcontractor_Inclusion_(2025)_DCS_-_signed 03March2026.pdf","Ross Stores, Inc/NDA_Mutual_CA_-_Subcontractor_Inclusion_(2025)_DCS_-_signed 03March2026.pdf","Subcontract","Signed","Ross Stores, Inc","2026-02-18","","Status=unknown-needs-review"
"G2","G2","01 Active Contracts","ScanSource","EXHIBIT_A_-_DATUM_SOW.SCSC_CLEAN_10.1.25.docx.pdf","ScanSource/EXHIBIT_A_-_DATUM_SOW.SCSC_CLEAN_10.1.25.docx.pdf","SOW","Signed","SCANSOURCE, INC","2025-10-01","","Status=unknown-needs-review"
"G2","G2","01 Active Contracts","ScanSource","ScanSource_-_DATUM_Prop_Final_9.19.24_(002).pdf","ScanSource/ScanSource_-_DATUM_Prop_Final_9.19.24_(002).pdf","Other","Signed","ScanSource","","","Status=unknown-needs-review"
"G2","G2","01 Active Contracts","USPS","Executed 3APCKG-24-B-0005.pdf","USPS/Executed 3APCKG-24-B-0005.pdf","PO","Signed","USPS","2024-06-30","","Status=unknown-needs-review"
"G2","G2","01 Active Contracts","Vertex Form 3D LLC","Enterprise_License_Agreement_01.14.26 - signed.pdf","Vertex Form 3D LLC/Enterprise_License_Agreement_01.14.26 - signed.pdf","EULA","Signed","Vertex Form 3D, LLC","2026-01-16","","Status=unknown-needs-review"
"G3","G3+G1","01 Active Contracts","Kaeser","Kaeser - Terms and Conditions - Clean - signed.pdf","Kaeser/Kaeser - Terms and Conditions - Clean - signed.pdf","","Review","Kaeser","2024-02-05","","Status=unknown-needs-review"
"G3","G4+G3+G1","01 Active Contracts","ScanSource","EXHIBIT_B_-_DATUM_End_User_License_Agreement_FINAL_CLEAN.8.14.25.docx.pdf","ScanSource/EXHIBIT_B_-_DATUM_End_User_License_Agreement_FINAL_CLEAN.8.14.25.docx.pdf","","Review","","2025-10-01","","Status=unknown-needs-review"
"G3","G4+G3+G1","01 Active Contracts","ScanSource","EXHIBIT_C_-_Appendix_D._Customer_Service_Addendum.docx.pdf","ScanSource/EXHIBIT_C_-_Appendix_D._Customer_Service_Addendum.docx.pdf","","Review","","","","Status=unknown-needs-review"
"G3","G4+G3+G1","01 Active Contracts","Schmalz, Inc","DCS Schmalz Vendor Mutual NDA 10.06.25.pdf","Schmalz, Inc/DCS Schmalz Vendor Mutual NDA 10.06.25.pdf","","Review","","","","Status=unknown-needs-review"
"G4","G4+G2","01 Active Contracts","Connors Group","Summary.pdf","Connors Group/Summary.pdf","Other","Signed","Chief Operating Officer CONNORS AND ASSOCIATES, LLC","","","Status=unknown-needs-review"
"G4","G4+G2","01 Active Contracts","EDMCI","EDMCI Sub Agreement 2025-0554 Walmart LAX2 signed.pdf","EDMCI/EDMCI Sub Agreement 2025-0554 Walmart LAX2 signed.pdf","Subcontract","Signed","the undersigned Subcontractor","2026-03-11","","Status=unknown-needs-review"
"G4","G4+G2","01 Active Contracts","Fletchline","2025-0555 - Walmart IND3 - Fletchline Subcontract_Agreement_Final Clean 03.19.26 - signed.pdf","Fletchline/2025-0555 - Walmart IND3 - Fletchline Subcontract_Agreement_Final Clean 03.19.26 - signed.pdf","Subcontract","Signed","the undersigned Subcontractor","2026-03-26","","Status=unknown-needs-review"
"G4","G4+G1","01 Active Contracts","McKesson","Summary.pdf","McKesson/Summary.pdf","Other","Review","Chief Operating Officer CONNORS AND ASSOCIATES, LLC","","","Status=unknown-needs-review"
"G4","G4+G2","01 Active Contracts","ScanSource","Summary.pdf","ScanSource/Summary.pdf","Other","Signed","Senior EVP & Chief Information Officer ScanSource, Inc","","","Status=unknown-needs-review"
"G5","G5+G4+G1","01 Active Contracts","(root)","DCS-TA-5611-GSESC-Amendment 1 - FE.pdf","DCS-TA-5611-GSESC-Amendment 1 - FE.pdf","Amendment","Review","","2026-05-12","","Status=unknown-needs-review"
"G6","G6+G4+G3+G1","01 Active Contracts","Amazon","A2. 24_7 Support Agreement - Work Order for signature.pdf","Amazon/A2. 24_7 Support Agreement - Work Order for signature.pdf","","Review","","2019-11-08","","MSA (2015) - verify expiration date before marking active | Status=unknown-needs-review"
"G6","G6+G5+G1","01 Active Contracts","Dematic","DCS-Dematic-Integrator-Agreement-executed.pdf","Dematic/DCS-Dematic-Integrator-Agreement-executed.pdf","Amendment","Review","Dematic Corp","2023-01-01","","Two files in expired folder - 2015 and 2025 versions, review before moving | Status=unknown-needs-review"
