"Group","VendorFolder","ContractLocation","FilePath","Exists","SHA256","GroupVerdict","DocCounterparty","FolderFileCount","Classification","KeepFolder","RecommendedAction"
"DCS Vendor Mutual NDA Cross Safety Management LLC - signed 3.13.2025.pdf","Cross Safety Management","01 Active Contracts","Cross Safety Management/DCS Vendor Mutual NDA Cross Safety Management LLC - signed 3.13.2025.pdf","TRUE","a6bfd7cb1ada4ab82befa272d021f5908e09bd6167b537387bcecb8d3341295b","IDENTICAL","Cross Safety Management, LLC","1","DUPLICATE-ALIAS-PAIR","Cross Safety Management LLC","Merge 'Cross Safety Management' into 'Cross Safety Management LLC'; delete twin"
"DCS Vendor Mutual NDA Cross Safety Management LLC - signed 3.13.2025.pdf","Cross Safety Management LLC","01 Active Contracts","Cross Safety Management LLC/DCS Vendor Mutual NDA Cross Safety Management LLC - signed 3.13.2025.pdf","TRUE","a6bfd7cb1ada4ab82befa272d021f5908e09bd6167b537387bcecb8d3341295b","IDENTICAL","Cross Safety Management, LLC","1","DUPLICATE-ALIAS-PAIR","Cross Safety Management LLC","Merge 'Cross Safety Management' into 'Cross Safety Management LLC'; delete twin"
"DCS Vendor Mutual NDA MODO 8 LLC - signed 3.27.2025.pdf","MODO 8","01 Active Contracts","MODO 8/DCS Vendor Mutual NDA MODO 8 LLC - signed 3.27.2025.pdf","TRUE","3e4d4324ddb91e2165ff7e26d2f18daf2ab113a293a36366cb2b10fb4487cf49","IDENTICAL","MODO 8, LLC","1","DUPLICATE-ALIAS-PAIR","MODO 8 LLC","Merge 'MODO 8' into 'MODO 8 LLC'; delete twin"
"DCS Vendor Mutual NDA MODO 8 LLC - signed 3.27.2025.pdf","MODO 8 LLC","01 Active Contracts","MODO 8 LLC/DCS Vendor Mutual NDA MODO 8 LLC - signed 3.27.2025.pdf","TRUE","3e4d4324ddb91e2165ff7e26d2f18daf2ab113a293a36366cb2b10fb4487cf49","IDENTICAL","MODO 8, LLC","1","DUPLICATE-ALIAS-PAIR","MODO 8 LLC","Merge 'MODO 8' into 'MODO 8 LLC'; delete twin"
"DCS Vendor Mutual NDA to ATG Applied Technology Group LLC - signed 8.21.2025.pdf","Applied Technologies Group","01 Active Contracts","Applied Technologies Group/DCS Vendor Mutual NDA to ATG Applied Technology Group LLC - signed 8.21.2025.pdf","TRUE","53c9aa2ba6102d103999579ff48901c091d5666f9dd5e07c7bd388a2d8a39154","IDENTICAL","ATG, Applied Technology Group, LLC","1","DUPLICATE-ALIAS-PAIR","Applied Technology Group (ATG)","Merge 'Applied Technologies Group' into 'Applied Technology Group (ATG)' (2 files); delete twin"
"DCS Vendor Mutual NDA to ATG Applied Technology Group LLC - signed 8.21.2025.pdf","Applied Technology Group (ATG)","01 Active Contracts","Applied Technology Group (ATG)/DCS Vendor Mutual NDA to ATG Applied Technology Group LLC - signed 8.21.2025.pdf","TRUE","53c9aa2ba6102d103999579ff48901c091d5666f9dd5e07c7bd388a2d8a39154","IDENTICAL","ATG, Applied Technology Group, LLC","2","DUPLICATE-ALIAS-PAIR","Applied Technology Group (ATG)","Merge 'Applied Technologies Group' into 'Applied Technology Group (ATG)' (2 files); delete twin"
"DCS Vendor Mutual NDA to Anderson Striping and Construction - signed 8.14.2025.pdf","Anderson Striping and Construction","01 Active Contracts","Anderson Striping and Construction/DCS Vendor Mutual NDA to Anderson Striping and Construction - signed 8.14.2025.pdf","TRUE","8a648053c02ca94043263bb22e81a76fe6b88e71609eb1ebfc1de25d658a1713","IDENTICAL","Anderson Striping and Construction","1","DUPLICATE-ALIAS-PAIR","Anderson Striping and Construction","Merge 'Anderson Stripping' (typo folder) into 'Anderson Striping and Construction'; delete twin"
"DCS Vendor Mutual NDA to Anderson Striping and Construction - signed 8.14.2025.pdf","Anderson Stripping","01 Active Contracts","Anderson Stripping/DCS Vendor Mutual NDA to Anderson Striping and Construction - signed 8.14.2025.pdf","TRUE","8a648053c02ca94043263bb22e81a76fe6b88e71609eb1ebfc1de25d658a1713","IDENTICAL","Anderson Striping and Construction","1","DUPLICATE-ALIAS-PAIR","Anderson Striping and Construction","Merge 'Anderson Stripping' (typo folder) into 'Anderson Striping and Construction'; delete twin"
"DCS Vendor Mutual NDA to FDH Machinery and Pumps Installations 10.28.2024.pdf","FDH Machinery and Pumps Installation","01 Active Contracts","FDH Machinery and Pumps Installation/DCS Vendor Mutual NDA to FDH Machinery and Pumps Installations 10.28.2024.pdf","TRUE","75ca01a2f664f73dc612f46c9c70aad3739409e83d61801c85b0f49db8afb41b","IDENTICAL","FDH Machinery and Pumps Installations, Inc.","1","DUPLICATE-ALIAS-PAIR","FDH Machinery and Pumps Installations","Merge 'FDH ... Installation' into 'FDH ... Installations'; delete twin"
"DCS Vendor Mutual NDA to FDH Machinery and Pumps Installations 10.28.2024.pdf","FDH Machinery and Pumps Installations","01 Active Contracts","FDH Machinery and Pumps Installations/DCS Vendor Mutual NDA to FDH Machinery and Pumps Installations 10.28.2024.pdf","TRUE","75ca01a2f664f73dc612f46c9c70aad3739409e83d61801c85b0f49db8afb41b","IDENTICAL","FDH Machinery and Pumps Installations, Inc.","1","DUPLICATE-ALIAS-PAIR","FDH Machinery and Pumps Installations","Merge 'FDH ... Installation' into 'FDH ... Installations'; delete twin"
"DCS.BBU-MSA (19 DEC 25) signed.pdf","BBU","01 Active Contracts","BBU/DCS.BBU-MSA (19 DEC 25) signed.pdf","TRUE","837a54181114fa114d7f97e5e663515345d7b520762557e924555afe668eb823","IDENTICAL","Bimbo Bakeries USA, Inc.","1","DUPLICATE-ALIAS-PAIR","Bimbo","Merge 'BBU' into 'Bimbo' (or vice versa); delete twin"
"DCS.BBU-MSA (19 DEC 25) signed.pdf","Bimbo","01 Active Contracts","Bimbo/DCS.BBU-MSA (19 DEC 25) signed.pdf","TRUE","837a54181114fa114d7f97e5e663515345d7b520762557e924555afe668eb823","IDENTICAL","Bimbo Bakeries USA, Inc.","1","DUPLICATE-ALIAS-PAIR","Bimbo","Merge 'BBU' into 'Bimbo' (or vice versa); delete twin"
"Designed Conveyor Mutual NDA  28 Sept 2020_Signed.pdf","MCI Conveyor Solutions","02 Unsigned Contracts","MCI Conveyor Solutions/Designed Conveyor Mutual NDA  28 Sept 2020_Signed.pdf","TRUE","466bc7222f31103f6845bda75da0e4e335923cd83b409b243cb3b13a0b1d2e80","IDENTICAL","Clearpath Robotics, Inc.","1","MISFILE","OTTO (confirm)","Doc is Clearpath Robotics (OTTO Motors is Clearpath's brand). 'OTTO' is likely correct; 'MCI Conveyor Solutions' copy appears misfiled. CONFIRM WITH HUMAN before deleting - neither folder name matches the doc."
"Designed Conveyor Mutual NDA  28 Sept 2020_Signed.pdf","OTTO","02 Unsigned Contracts","OTTO/Designed Conveyor Mutual NDA  28 Sept 2020_Signed.pdf","TRUE","466bc7222f31103f6845bda75da0e4e335923cd83b409b243cb3b13a0b1d2e80","IDENTICAL","Clearpath Robotics, Inc.","1","MISFILE","OTTO (confirm)","Doc is Clearpath Robotics (OTTO Motors is Clearpath's brand). 'OTTO' is likely correct; 'MCI Conveyor Solutions' copy appears misfiled. CONFIRM WITH HUMAN before deleting - neither folder name matches the doc."
"Designed Conveyor Systems- FSC Vendor mNDA 5.7.2025.docx.pdf","FSC","01 Active Contracts","FSC/Designed Conveyor Systems- FSC Vendor mNDA 5.7.2025.docx.pdf","TRUE","87938f4c56c44bd80c60242a267e00667e322f136ab52263a02848dd5805cf83","IDENTICAL","FEDEX SUPPLY CHAIN, INC.","1","DUPLICATE-ALIAS-PAIR","FedEx Supply Chain","Merge 'FSC' into 'FedEx Supply Chain'; delete twin"
"Designed Conveyor Systems- FSC Vendor mNDA 5.7.2025.docx.pdf","FedEx Supply Chain","01 Active Contracts","FedEx Supply Chain/Designed Conveyor Systems- FSC Vendor mNDA 5.7.2025.docx.pdf","TRUE","87938f4c56c44bd80c60242a267e00667e322f136ab52263a02848dd5805cf83","IDENTICAL","FEDEX SUPPLY CHAIN, INC.","1","DUPLICATE-ALIAS-PAIR","FedEx Supply Chain","Merge 'FSC' into 'FedEx Supply Chain'; delete twin"
"Executed Postal Service DCS NDA.pdf","Postal Service","01 Active Contracts","Postal Service/Executed Postal Service DCS NDA.pdf","TRUE","02e72648645d89e0252a27812daab7143d968d04bc3ea1b0325132e08746aaec","IDENTICAL","United States Postal Service","1","DUPLICATE-ALIAS-PAIR","USPS","Merge 'Postal Service' into 'USPS' (3 files); delete twin"
"Executed Postal Service DCS NDA.pdf","USPS","01 Active Contracts","USPS/Executed Postal Service DCS NDA.pdf","TRUE","02e72648645d89e0252a27812daab7143d968d04bc3ea1b0325132e08746aaec","IDENTICAL","United States Postal Service","3","DUPLICATE-ALIAS-PAIR","USPS","Merge 'Postal Service' into 'USPS' (3 files); delete twin"
"Form NDA -- iHerb 081518 (Fully Executed).pdf","Vertex Form 3D LLC","01 Active Contracts","Vertex Form 3D LLC/Form NDA -- iHerb 081518 (Fully Executed).pdf","TRUE","96af813882d15b2aea75f62458058db7f45d92c121f56b0dd42fef42ae793f85","IDENTICAL","iHerb, LLC","3","MISFILE","iHerb","Doc is iHerb, LLC. Copy in 'Vertex Form 3D LLC' is a wrong-vendor misfile (likely matched on 'Form'). Delete the Vertex copy; do NOT merge folders."
"Form NDA -- iHerb 081518 (Fully Executed).pdf","iHerb","01 Active Contracts","iHerb/Form NDA -- iHerb 081518 (Fully Executed).pdf","TRUE","96af813882d15b2aea75f62458058db7f45d92c121f56b0dd42fef42ae793f85","IDENTICAL","iHerb, LLC","1","MISFILE","iHerb","Doc is iHerb, LLC. Copy in 'Vertex Form 3D LLC' is a wrong-vendor misfile (likely matched on 'Form'). Delete the Vertex copy; do NOT merge folders."
"KLS-2022 NDA-DCS-20220120.pdf","KLS","01 Active Contracts","KLS/KLS-2022 NDA-DCS-20220120.pdf","TRUE","1c5c17ba51d16d2a73e918e6b8beedcef2abe94e6afad84dcdcd8cedb4cdef0b","IDENTICAL","Kenco Logistic Services, LLC","1","DUPLICATE-ALIAS-PAIR","Kenco","Merge 'KLS' into 'Kenco' (2 files); delete twin"
"KLS-2022 NDA-DCS-20220120.pdf","Kenco","01 Active Contracts","Kenco/KLS-2022 NDA-DCS-20220120.pdf","TRUE","1c5c17ba51d16d2a73e918e6b8beedcef2abe94e6afad84dcdcd8cedb4cdef0b","IDENTICAL","Kenco Logistic Services, LLC","2","DUPLICATE-ALIAS-PAIR","Kenco","Merge 'KLS' into 'Kenco' (2 files); delete twin"
"MUTUAL CONFIDENTIALITY AND NONDISCLOSURE AGREEMENT BMC Signed.pdf","BMC","01 Active Contracts","BMC/MUTUAL CONFIDENTIALITY AND NONDISCLOSURE AGREEMENT BMC Signed.pdf","TRUE","0798074e3420a273135eac1b7990b44f39c49b769c7057b94de9ea033225f41a","IDENTICAL","Bespoke Manufacturing Company Inc.","1","DUPLICATE-ALIAS-PAIR","Bespoke","BMC = Bespoke Manufacturing Company Inc. (confirmed on signature page). Merge 'BMC' into 'Bespoke'; delete twin"
"MUTUAL CONFIDENTIALITY AND NONDISCLOSURE AGREEMENT BMC Signed.pdf","Bespoke","01 Active Contracts","Bespoke/MUTUAL CONFIDENTIALITY AND NONDISCLOSURE AGREEMENT BMC Signed.pdf","TRUE","0798074e3420a273135eac1b7990b44f39c49b769c7057b94de9ea033225f41a","IDENTICAL","Bespoke Manufacturing Company Inc.","1","DUPLICATE-ALIAS-PAIR","Bespoke","BMC = Bespoke Manufacturing Company Inc. (confirmed on signature page). Merge 'BMC' into 'Bespoke'; delete twin"
"MUTUAL CONFIDENTIALITY AND NONDISCLOSURE AGREEMENT.pdf","GENESCO_Journeys","01 Active Contracts","GENESCO_Journeys/MUTUAL CONFIDENTIALITY AND NONDISCLOSURE AGREEMENT.pdf","TRUE","65cd9f4928edc50977d724a8178d57db4865603298730c61790f3ae03a94557d","DIFFERENT","GENESCO INC. (executed; signed Matthew N. Johnson, VP & Treasurer)","2","NAME-COLLISION","(keep both)","NOT a duplicate. Generic DCS template filename. UniFirst copy = blank/unexecuted; GENESCO copy = executed GENESCO INC. NDA. Keep both. FIX CATALOG: GENESCO row's CounterpartyName is wrongly 'UniFirst'."
"MUTUAL CONFIDENTIALITY AND NONDISCLOSURE AGREEMENT.pdf","UniFirst","02 Unsigned Contracts","UniFirst/MUTUAL CONFIDENTIALITY AND NONDISCLOSURE AGREEMENT.pdf","TRUE","034b49dae7028b7b84785e5d16f0a9c2d0e407e059eafa2e555b360fb61a5925","DIFFERENT","(blank - counterparty block unfilled; unexecuted DCS template)","1","NAME-COLLISION","(keep both)","NOT a duplicate. Generic DCS template filename. UniFirst copy = blank/unexecuted; GENESCO copy = executed GENESCO INC. NDA. Keep both. FIX CATALOG: GENESCO row's CounterpartyName is wrongly 'UniFirst'."
"Mutual NDA - Designed Conveyor Systems  - KSC LLC - FINAL - 02.2025.pdf","KSC LLC","01 Active Contracts","KSC LLC/Mutual NDA - Designed Conveyor Systems  - KSC LLC - FINAL - 02.2025.pdf","TRUE","504cd12e0eb890b63ad18acf90429deb9a25518ced600bd27fdceecdd6b5c6b3","IDENTICAL","Korber Supply Chain LLC","1","DUPLICATE-ALIAS-PAIR","KSC LLC","KSC = Korber Supply Chain. Merge into one folder; delete twin. NOTE: 'KORBER SUPPLY CHAIN LLC' folder name is mojibaked on disk (bad encoding) - fix name during merge."
"Mutual NDA - Designed Conveyor Systems  - KSC LLC - FINAL - 02.2025.pdf","KÖRBER SUPPLY CHAIN LLC","01 Active Contracts","KÖRBER SUPPLY CHAIN LLC/Mutual NDA - Designed Conveyor Systems  - KSC LLC - FINAL - 02.2025.pdf","TRUE","504cd12e0eb890b63ad18acf90429deb9a25518ced600bd27fdceecdd6b5c6b3","IDENTICAL","Korber Supply Chain LLC","1","DUPLICATE-ALIAS-PAIR","KSC LLC","KSC = Korber Supply Chain. Merge into one folder; delete twin. NOTE: 'KORBER SUPPLY CHAIN LLC' folder name is mojibaked on disk (bad encoding) - fix name during merge."
"Mutual NDA Template_Feb 2022.docx","Allan Fire Protection Systems","02 Unsigned Contracts","Allan Fire Protection Systems/Mutual NDA Template_Feb 2022.docx","TRUE","eb304025c9ee33e1035c75f50ba7f4ec984208b6f1ee2ee694ea5b538bba03d4","DIFFERENT","Allan Fire Protection Systems (AFPS)","1","NAME-COLLISION","(keep all 5)","NOT duplicates and NOT blank templates. All 5 copies are distinct, each customized with its own vendor name. Byte-different. KEEP ALL 5. Consider renaming to vendor-specific filenames."
"Mutual NDA Template_Feb 2022.docx","Big Bay Holdings","02 Unsigned Contracts","Big Bay Holdings/Mutual NDA Template_Feb 2022.docx","TRUE","11d49037801f50def0371434f06cff561b7b8c26e300ad5aa193b65d139f1568","DIFFERENT","Big Bay Holdings (BBH)","1","NAME-COLLISION","(keep all 5)","NOT duplicates and NOT blank templates. All 5 copies are distinct, each customized with its own vendor name. Byte-different. KEEP ALL 5. Consider renaming to vendor-specific filenames."
"Mutual NDA Template_Feb 2022.docx","New Age Industrial","02 Unsigned Contracts","New Age Industrial/Mutual NDA Template_Feb 2022.docx","TRUE","19aa64e25229a6eb55e70e13d080f01ddec5a6e1883da20834b5076e95c4e3c9","DIFFERENT","New Age Industrial (NAI)","1","NAME-COLLISION","(keep all 5)","NOT duplicates and NOT blank templates. All 5 copies are distinct, each customized with its own vendor name. Byte-different. KEEP ALL 5. Consider renaming to vendor-specific filenames."
"Mutual NDA Template_Feb 2022.docx","OX Metalworks","02 Unsigned Contracts","OX Metalworks/Mutual NDA Template_Feb 2022.docx","TRUE","ed58c38e62573da2341e4283e91fa96e0520b483ca4656ede22d852ade029fbc","DIFFERENT","Ox Metalworks (OX)","2","NAME-COLLISION","(keep all 5)","NOT duplicates and NOT blank templates. All 5 copies are distinct, each customized with its own vendor name. Byte-different. KEEP ALL 5. Consider renaming to vendor-specific filenames."
"Mutual NDA Template_Feb 2022.docx","Western States Fire Protection","02 Unsigned Contracts","Western States Fire Protection/Mutual NDA Template_Feb 2022.docx","TRUE","e7e46e33a92940a6d52c70ee81dbd87a14ec8649fba7eff2416cbfcd03ee8d69","DIFFERENT","WSFP (Western States Fire Protection)","1","NAME-COLLISION","(keep all 5)","NOT duplicates and NOT blank templates. All 5 copies are distinct, each customized with its own vendor name. Byte-different. KEEP ALL 5. Consider renaming to vendor-specific filenames."
"Mutual NDA- Associated Packaging.docx","Associated Packaging","02 Unsigned Contracts","Associated Packaging/Mutual NDA- Associated Packaging.docx","TRUE","32fa4f31deafe511664cf8efa2c598c0cf3f77ba588805e00a3013f4f0e9e652","DIFFERENT","Associated Packaging, Inc.","2","MISFILE","Associated Packaging","Both copies name Associated Packaging, Inc. in the text. The 'CTM Labeling' copy is a wrong-vendor misfile (byte-different variant). Delete/relocate the CTM copy; CTM has no NDA of its own."
"Mutual NDA- Associated Packaging.docx","CTM Labeling","02 Unsigned Contracts","CTM Labeling/Mutual NDA- Associated Packaging.docx","TRUE","629dafdabd9a6f67e04fa97fbef3a5724a00d32aa5cffba672b0de55b58bca9c","DIFFERENT","Associated Packaging, Inc. (NOT CTM - wrong-vendor copy)","3","MISFILE","Associated Packaging","Both copies name Associated Packaging, Inc. in the text. The 'CTM Labeling' copy is a wrong-vendor misfile (byte-different variant). Delete/relocate the CTM copy; CTM has no NDA of its own."
"Mutual NDA- Associated Packaging.pdf","Associated Packaging","02 Unsigned Contracts","Associated Packaging/Mutual NDA- Associated Packaging.pdf","TRUE","21d65823e820642323fabd89f268c9afc4936d5150cdbf894cb1da8af0f4aa74","IDENTICAL","Associated Packaging, Inc.","2","MISFILE","Associated Packaging","Byte-identical Associated Packaging NDA sitting in 'CTM Labeling'. Delete the CTM copy; do NOT merge folders (different companies)."
"Mutual NDA- Associated Packaging.pdf","CTM Labeling","02 Unsigned Contracts","CTM Labeling/Mutual NDA- Associated Packaging.pdf","TRUE","21d65823e820642323fabd89f268c9afc4936d5150cdbf894cb1da8af0f4aa74","IDENTICAL","Associated Packaging, Inc. (NOT CTM - wrong-vendor copy)","3","MISFILE","Associated Packaging","Byte-identical Associated Packaging NDA sitting in 'CTM Labeling'. Delete the CTM copy; do NOT merge folders (different companies)."
"Mutual NDA- DCS_Diversifed_Final.pdf","Diversified","01 Active Contracts","Diversified/Mutual NDA- DCS_Diversifed_Final.pdf","TRUE","92ecf31dd0ced7a15a4646f5b2dca3e5c3b7d9573c2c5c891739b46dfb3fba34","IDENTICAL","Diversified Automation","2","DUPLICATE-ALIAS-PAIR","Diversified Automation","Merge 'Diversified' into 'Diversified Automation'; delete twin"
"Mutual NDA- DCS_Diversifed_Final.pdf","Diversified Automation","01 Active Contracts","Diversified Automation/Mutual NDA- DCS_Diversifed_Final.pdf","TRUE","92ecf31dd0ced7a15a4646f5b2dca3e5c3b7d9573c2c5c891739b46dfb3fba34","IDENTICAL","Diversified Automation","2","DUPLICATE-ALIAS-PAIR","Diversified Automation","Merge 'Diversified' into 'Diversified Automation'; delete twin"
"Mutual NDA- Diversifed_Final_MS_11_15_23.pdf","Diversified","01 Active Contracts","Diversified/Mutual NDA- Diversifed_Final_MS_11_15_23.pdf","TRUE","c64319988c57c596ed92596fe68847a02aa7f17d543f5e12d46f34b4c0a938a7","IDENTICAL","Diversified Automation","2","DUPLICATE-ALIAS-PAIR","Diversified Automation","Same folder pair as above - merge handles both files"
"Mutual NDA- Diversifed_Final_MS_11_15_23.pdf","Diversified Automation","01 Active Contracts","Diversified Automation/Mutual NDA- Diversifed_Final_MS_11_15_23.pdf","TRUE","c64319988c57c596ed92596fe68847a02aa7f17d543f5e12d46f34b4c0a938a7","IDENTICAL","Diversified Automation","2","DUPLICATE-ALIAS-PAIR","Diversified Automation","Same folder pair as above - merge handles both files"
"Mutual NDA- ICE - signed.pdf","Alice and Olivia","01 Active Contracts","Alice and Olivia/Mutual NDA- ICE - signed.pdf","TRUE","9ce959c9a30211c342682712be6b605da9993bb8af2bb55141b20ddf17b14807","IDENTICAL","Industrial Controls Electric (ICE)","1","MISFILE","Industrial Controls Electric (ICE)","Doc is Industrial Controls Electric. Copy in 'Alice and Olivia' (a different, real customer) is a wrong-vendor misfile - likely an 'ICE'/'alICE' match error. Delete the Alice and Olivia copy; do NOT merge folders. NOTE: that leaves 'Alice and Olivia' empty - confirm whether that customer has contracts elsewhere."
"Mutual NDA- ICE - signed.pdf","Industrial Controls Electric (ICE)","01 Active Contracts","Industrial Controls Electric (ICE)/Mutual NDA- ICE - signed.pdf","TRUE","9ce959c9a30211c342682712be6b605da9993bb8af2bb55141b20ddf17b14807","IDENTICAL","Industrial Controls Electric (ICE)","1","MISFILE","Industrial Controls Electric (ICE)","Doc is Industrial Controls Electric. Copy in 'Alice and Olivia' (a different, real customer) is a wrong-vendor misfile - likely an 'ICE'/'alICE' match error. Delete the Alice and Olivia copy; do NOT merge folders. NOTE: that leaves 'Alice and Olivia' empty - confirm whether that customer has contracts elsewhere."
"NDA 2.23.18 SA.docx","Swisslog","03 Archived Contracts","Swisslog/NDA 2.23.18 SA.docx","TRUE","aa9402b92eb61351f0926e94665126662d4fcae512baf0452c87ebe09f555885","DIFFERENT","Swisslog (counterparty: Spring Automation, LLC - DCS legacy entity)","2","NAME-COLLISION","(keep both)","NOT a duplicate. Two entirely different NDAs (Walmart Inc. vs Swisslog), both with DCS legacy entity Spring Automation, LLC. Coincidental filename. Keep both."
"NDA 2.23.18 SA.docx","Walmart","02 Unsigned Contracts","Walmart/NDA 2.23.18 SA.docx","TRUE","9256d126cbc1b99560e8b720e3a04a12a880b2e5b037bf1ed209546c15671d3a","DIFFERENT","Walmart Inc. (counterparty: Spring Automation, LLC - DCS legacy entity)","2","NAME-COLLISION","(keep both)","NOT a duplicate. Two entirely different NDAs (Walmart Inc. vs Swisslog), both with DCS legacy entity Spring Automation, LLC. Coincidental filename. Keep both."
"NDA Designed Conveyor Systems, LLC x QVC, Inc signed 9.30.2024.pdf","QVC","01 Active Contracts","QVC/NDA Designed Conveyor Systems, LLC x QVC, Inc signed 9.30.2024.pdf","TRUE","a8b98babefd2999bbc29454852cd08b7c0b0d4ef606895d8ad68eafaf9d1ae12","IDENTICAL","QVC, Inc.","1","DUPLICATE-ALIAS-PAIR","QVC","Merge 'QVC, Inc' into 'QVC'; delete twin"
"NDA Designed Conveyor Systems, LLC x QVC, Inc signed 9.30.2024.pdf","QVC, Inc","01 Active Contracts","QVC, Inc/NDA Designed Conveyor Systems, LLC x QVC, Inc signed 9.30.2024.pdf","TRUE","a8b98babefd2999bbc29454852cd08b7c0b0d4ef606895d8ad68eafaf9d1ae12","IDENTICAL","QVC, Inc.","1","DUPLICATE-ALIAS-PAIR","QVC","Merge 'QVC, Inc' into 'QVC'; delete twin"
